日期,星期,Git_IVG2.0,Git_IVG_对照,完成摘要,源码与配置要点,备注
2026-02-24,周二,—,—,迁移方案梳理：纯 ROS2 栈边界（驱动、MoveIt2、ros1_bridge 取舍）,—,为 aubo_driver_ros2 + 插值 + trajectory_action 定调
2026-02-25,周三,—,—,包清单整理：Aubo、Percipio、graspnet、估姿、手眼、coordinate_transforms 等迁入范围,—,—
2026-02-26,周四,—,—,Humble 下 colcon、MoveIt2、demo_driver 与旧 IVG 差异记录,—,可复现构建与接口稳定性
2026-02-27,周五,—,—,首版迁入范围冻结：description、moveit、camport、graspnet、visual_pose*、hand_eye 等,—,—
2026-03-02,周一,—,—,迁入前检查：graspnet-baseline、大文件、.gitignore、许可证；准备次日初始化提交,—,—
2026-03-03,周二,—,—,目录落地 IVG2.0，准备 Initial commit 文案,—,—
2026-03-04,周三,ac4991bcf Initial；d9ac5cb3c 7756ba9f3 84c55aea6 init,—,独立仓库首版：aubo_ros2_ws 多包落库，依赖与构建增量,aubo_ros2_ws/src/** 全树骨架,本仓可追溯历史起点
2026-03-05,周四,fc0a8ca02 init2；ab30a2a9b 笛卡尔测试,—,笛卡尔/Movel 纯 ROS2 试跑；init 第二轮,movel_server、moveit_beeline_demo、Movel.srv、aubo2_moveit_config/moveit.rviz；清理误路径 graspnet_ros2/resource/*.csv,为快换与抓取打底
2026-03-06,周五,53aaa94b7 3.6,725dec6c5 331f608e5 v1,Movel 服务与测试脚本可提交版本,movel_server.*、moveit_beeline_demo、test_movel_service.py、movel_server.launch,IVG v1 与后续快换节奏对应
2026-03-09,周一,—,b37a475bd 快换,IVG2.0 可能本地联调未入库,—,IVG 末端快换继续开发
2026-03-10,周二,—,快换多条；aff849813 点云 graspnet,（对照）快换与点云 GraspNet 参考环境推进,—,供 IVG2.0 graspnet + demo_driver 参照
2026-03-11,周三,—,689933634；74d37c1c4,（对照）点云 GraspNet 流水线验证通过,—,—
2026-03-12,周四,—,7449f6656；8a7cde2f4,（对照）抓取运动抽象与计算优化,—,—
2026-03-13,周五,86146dcc7 快换 Worker+清调试；cd08bcacf 清调试,—,夹爪快换进 demo_driver；去 instrumentation；驱动 README 补全,RunGripperSwap.srv、moveit_arcline_*、aubo_ros2.xacro、aubo_driver_ros2、aubo_robot_simulator_node.py、aubo_ros2_trajectory_action.cpp、aubo_moveit_pure_ros2.launch.py、aubo_driver_ros2/README.md,movel_server 精简
2026-03-16,周一,66a591493 a1b00e5ff 循环抓取,—,GraspNet 与 demo_driver 整合：循环 Worker、夹爪 IO 基类、Pilz、点云 launch、Python 控制与文档 RViz,publish_grasps_client_worker.*、moveit_gripper_io_base.*、gripper_swap_worker.*、pilz_*、graspnet_demo_points*.launch.py、grasp_motion_controller.py、graspnet_demo_points_node.py 等,demo_driver/README.md 对齐现场
2026-03-17,周二,40afb69d7；6ff7be874 卡顿测试,—,卡顿与循环抓取：驱动/插值/trajectory/Worker 联调；关节分析脚本与文档,aubo_driver_ros2.cpp、aubo_robot_simulator_node.py、aubo_ros2_trajectory_action.cpp、moveit_controllers.yaml、joint_states_motion_analyzer.py 等、graspnet_demo_points_with_tf.launch.py,路径微调如 ros_arm_tutorials
2026-03-18,周三,d68d97d3e；cf9e158f5 3c16927c5 c4700beba,—,抖动修复文档+MoveIt/驱动配置；GraspNet 循环服务与 Worker 扩展（含 MTC 单次与说明）,MOTION_JITTER_FIX_SUMMARY_2026-03-18.md、ompl_planning.yaml、publish_grasps_client_worker*、GRASP_LOOP_SERVICE_NOTES.md、execute_grasp_pose_worker 相关,提交密，宜逐条 git show
2026-03-19,周四,4b6f66465 抓取与快换调整,—,move_to_pose_server 重构；快换增强；删部分 MTC 单次源；launch 与 start_IVG、Web 桥接,move_to_pose_server.*、gripper_swap_worker.cpp、demo.launch.py、RobotStatus.msg、MoveToPose.srv、start_IVG.sh、visual_pose_estimation_python 桥接脚本,职责边界收束
2026-03-20,周五,830aaaef1；ea69433c9,—,模板匹配新轨迹抓取验证；多任务串联仿真,以当日 git show 为准（估姿模板与 demo_driver/GraspNet 串联）,—
2026-03-23,周一,eba298b71 真机串联,—,仿真串联上真机端到端验证,launch/参数/现场脚本见 diff,现场里程碑
2026-03-24,周二,9b25f323f；e4dad3ded 0faf3f7e4(Revert) abfe83608 FastAPI,—,串联稳定；视觉 Python 接入 FastAPI（路由、ROS 桥、launch/setup、web_ui 文档与前端）,visual_pose_estimation_python/web/**、visual_pose_estimation_web.launch.py、web_ui/、aubo_moveit_pure_ros2.launch.py 小改,以最终 abfe83608 树为准
2026-03-25,周三,—,—,（无记录）可能真机复测或文档整理,—,建议重要结论补提交
2026-03-26,周四,—,—,同 03-25,—,—
2026-03-27,周五,—,—,（无记录）可能 README、工作区说明、手眼 package.xml 等文档,文档类,建议单独 commit
