[006.4s - 010.0s] 在这个视频中,我们将学习有关牛奶的一些基础的博士学习,
[010.0s - 014.0s] 如何使牛奶的热度和材质成为一个美味的基础给喝的饮料,
[014.0s - 016.4s] 以及如何把它倒进来,以令饮料看起来漂亮。
[017.7s - 019.9s] 在我们开始烘焙和倒入牛奶前,
[019.9s - 022.6s] 我们需要学习一些基础的牛奶化学和
[022.6s - 025.0s] 牛奶当我们烘焙的时候,我们要怎么处理牛奶的方式。
[026.5s - 030.6s] 至于我们作为博士,牛奶有三个主要的成分,
[030.9s - 033.4s] 糖,蛋白和脂肪。
[033.4s - 039.5s] 我们来谈谈每一个,以及它在准备和品味上的角色里面的角色。
[039.5s - 042.2s] 我们开始谈谈糖。
[042.2s - 046.2s] 牛奶的主要糖是氧化骨,而且是非常甜的。
[046.2s - 050.1s] 这被解释为,热度好的和厚度好的卡布奇诺与拉铁
[050.1s - 052.6s] 经常不需要糖来味道甜。
[052.6s - 056.7s] 这在我们的饮料的温度上的角色里面的角色,
[056.7s - 060.3s] 因为我们想要尝试我们可以取出的每一块甜味。
[060.3s - 064.7s] 想象一下一个新鲜的热的一块薄餅。
[064.7s - 069.3s] 如果你马上放进你的嘴里,
[069.3s - 073.2s] 你会感觉到热度和痛苦。
[073.2s - 075.2s] 如果你让那一块薄餅稍微冷却,
[075.2s - 080.2s] 你会感觉到热度好的薄餅和酥脆的糕点。
[080.2s - 084.0s] 同样的逻辑,你不需要让你的拉铁太热
[084.0s - 087.8s] 才能感受到那种美好的氧化骨。
[087.8s - 090.6s] 接下来是蛋白。
[090.6s - 093.6s] 蛋白开始从凝固的球和冷牛奶开始,
[093.6s - 095.6s] 然后通过凝固的热度,
[095.6s - 101.6s] 它们会出现一个氧化骨和氧化骨。
[101.6s - 105.5s] 当我们将牛奶放入热水中,
[105.5s - 107.5s] 氧化骨的氧化骨的细胞
[107.5s - 110.5s] 会隐藏在牛奶里的水中,
[110.5s - 114.5s] 使氧化骨的细胞形成一个围巾,
[114.5s - 115.5s] 保持它的形状。
[115.5s - 120.2s] 这就叫做氧化骨。
[120.2s - 122.2s] 氧化骨的质量和酵素
[122.2s - 124.2s] 是组织牛奶的氧化骨,
[124.2s - 128.2s] 并会维持它的形状至160度,
[128.2s - 131.2s] 直到酵素分离或变化。
[131.2s - 134.1s] 这就会导致牛奶的氧化骨,
[134.1s - 136.1s] 和牛奶的氧化骨的氧化骨,
[136.1s - 137.1s] 变化,
[137.1s - 139.4s] 并使牛奶的氧化骨变化。
[139.4s - 143.5s] 这就是我们不想太热的原因。
[143.5s - 146.5s] 第三个和最终的牛奶组织是脂肪。
[146.5s - 149.2s] 脂肪影响牛奶的厚度,
[149.2s - 152.2s] 和牛奶的质量和纯度。
